filename,file_size,file_size_bytes,creation_date,original_path,full_path,file_extension,category,primary_type,mime_type,encoding,intelligent_category,confidence_score,description,key_concepts,content_hash,lines_of_code,complexity_score,predicted_business_value,integration_potential,integration_targets,estimated_effort,maturity_level,roi_potential,agent_affinity,skill_affinity,command_related,dependencies,dependents,agent_tier,last_modified,modification_count,moved_from,status,last_scan_date,documentation_score,test_coverage,code_standards,security_score,accessibility_score,related_files,tags,ownership,last_reviewed,review_status
technical-writer.md,2.56 KB,2621,08-06-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/technical-writer.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: technical-writer.md,"Use,Structures,Good,Technical,Writer",c64888bc48b43d5d,69,0.0,0.51,False,,low,production,0.46,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,08-06-26 20:39,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
openai.yaml,296.00 B,296,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/openai.yaml,.yaml,yaml,yaml,application/octet-stream,utf-8,skill,0.95,Skill module: openai.yaml,"Sora,Video,Generation,Skill,Generate",5ee2165f93414e98,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
local-ecosystem-auditor.md,8.93 KB,9140,07-16-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/local-ecosystem-auditor.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: local-ecosystem-auditor.md,"Use,Claude,Codex,Cursor,Examples",cbcb52507622d8a1,153,0.0,0.59,False,,low,production,0.53,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-16-26 10:53,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
task-management.md,990.00 B,990,08-06-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/task-management.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: task-management.md,"Use,Good,Task,Management,Agent",bc45f39db595e2db,27,0.0,0.48,False,,low,production,0.43,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,08-06-26 20:45,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
tool-evaluator.md,5.87 KB,6011,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/tool-evaluator.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: tool-evaluator.md,"Use,Trigger,You,Your,agent",f2bc80a8796a8141,179,0.0,0.61,True,,low,production,0.55,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
backend-architect.md,2.27 KB,2321,08-06-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/backend-architect.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: backend-architect.md,"Use,Architecture,Backend,Architect,Persona",43078caabb2fda98,65,0.0,0.51,False,,low,production,0.46,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,08-06-26 20:44,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
code-reviewer.md,2.40 KB,2458,08-06-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/code-reviewer.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: code-reviewer.md,"Use,Python,Gives,Code,Reviewer",6eccc59686422e13,69,0.0,0.51,False,,low,production,0.46,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,08-06-26 20:37,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
tree-explorer.md,2.80 KB,2866,08-06-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/tree-explorer.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: tree-explorer.md,"Use,Generates,Reuses,Good,You",47214e02bcc4d744,32,0.0,0.48,False,,low,production,0.43,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,08-06-26 20:39,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
experiment-tracker.md,5.64 KB,5771,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/experiment-tracker.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: experiment-tracker.md,"Trigger,You,Your,agent,integration",eb0eb667f40e562f,129,0.0,0.57,False,,low,production,0.51,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
conversation-analyzer.md,5.35 KB,5478,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/conversation-analyzer.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: conversation-analyzer.md,"Use,Examples,Context,User,The",535ec8acb55b51bf,176,0.0,0.61,True,,low,production,0.55,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
tiktok-strategist.md,5.22 KB,5344,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/tiktok-strategist.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: tiktok-strategist.md,"Use,TikTok,You,agent,hook",8d7dfef2222ce740,115,0.0,0.56,False,,low,production,0.5,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
rule-definition.md,1.21 KB,1243,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/rule-definition.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: rule-definition.md,"Use,You,Responsibilities,Translate,Define",b8240e4408d822a2,36,0.0,0.48,False,,low,production,0.44,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
test-agent.md,204.00 B,204,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/test-agent.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: test-agent.md,"Testing,Quality,Test,Agent,This",0d52f89deea1cc01,15,0.0,0.46,False,,low,production,0.42,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
api-tester.md,6.16 KB,6309,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/api-tester.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: api-tester.md,"Use,You,Your,agent,hook",9c35d6b543718eb3,189,0.0,0.62,True,,low,production,0.56,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
sorty.md,612.00 B,612,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/sorty.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: sorty.md,"Improve,Read,Grep,Glob,Bash",a29e42ceb24379ea,22,0.0,0.47,False,,low,production,0.42,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
system-analysis.md,1.25 KB,1281,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/system-analysis.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: system-analysis.md,"Use,You,Responsibilities,Review,Detect",16d33d3fa6464721,35,0.0,0.48,False,,low,production,0.43,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
performance-engineer.md,2.45 KB,2504,08-06-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/performance-engineer.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: performance-engineer.md,"Use,Starts,Performance,Engineer,Persona",04f50b33e0b16dcd,69,0.0,0.51,False,,low,production,0.46,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,08-06-26 20:44,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
studio-coach.md,6.30 KB,6448,07-13-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/studio-coach.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: studio-coach.md,"Trigger,You,Your,agent,orchestration",b975b024d5c26fd4,132,0.0,0.57,False,,low,production,0.51,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
filesystem-inventory.md,3.49 KB,3573,08-06-26,/Users/steven/.agent-skills/agents,/Users/steven/.agent-skills/agents/filesystem-inventory.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: filesystem-inventory.md,"Use,Markdown,Empty,Project,Repo",80fde11fcf6b96fe,52,0.0,0.5,False,,low,production,0.45,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,08-06-26 20:44,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
