name,path,languages,project_types,commercial_classes,sell_as,overall_score,completion,market_fit,packaging,exposure,hours_remaining,expected_price,annual_revenue,recurring_revenue,competition,recommendation,missing,summary
skills,/Users/steven/.agent-skills/skills,"Markdown, Node, Python","AI Agent, API, CLI, Claude Skill, Creative Tool, Dataset, MCP Server, Media Tool","AI Tool, Automation, Creative Tool, Dataset, Developer Tool, Media Tool","API, Agent Pack, CLI, Consulting, Creator Subscription, Dataset License, Developer License, Enterprise, Hosted MCP, License, MCP, Prompt Pack, SaaS, Skill Pack, Template",66.0,76.2,47.5,60.0,42.9,8.1,137.0,10374.0,True,Medium,Package next,"Demo video, Landing page, CI/CD",skills — ~/.agent-skills/skills/
.agent-skills,/Users/steven/.agent-skills,"Markdown, Node, Python","AI Agent, Claude Skill, Creative Tool, Dataset, Template","AI Tool, Automation, Creative Tool, Dataset, Developer Tool, Media Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Dataset License, License, Prompt Pack, SaaS, Skill Pack, Template",63.5,71.4,45.0,60.0,38.1,9.1,26.0,1894.0,True,Medium,Develop / merge,"Demo video, Landing page, CI/CD",local agent and skill workspace for reusable ai workflows.
comfyui,/Users/steven/.agent-skills/skills/creative/comfyui,"Markdown, Python","AI Agent, API, CLI, Claude Skill, Creative Tool, Desktop App, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Course, Creator Subscription, Desktop, Developer License, Enterprise, License, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",56.4,71.4,78.0,0.0,4.8,14.1,167.0,12164.0,True,High,Develop / merge,"License, Screenshots, Demo video, Installer, Landing page, CI/CD","description: ""generate images, video, and audio with comfyui — install, launch, manage nodes/models, run workflows with parameter injection. uses the official comfy-cli for lifecycle and direct rest/websocket api for execution."""
taste-skill,/Users/steven/.agent-skills/skills/taste-skill,Markdown,"AI Agent, API, CLI, Claude Skill, Creative Tool, Desktop App, MCP Server, Media Tool, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Course, Creator Subscription, Desktop, Developer License, Enterprise, Hosted MCP, License, MCP, One-time Purchase, Prompt Pack, SaaS, Skill Pack, Template",54.5,47.6,50.0,40.0,47.6,15.5,139.0,8140.0,True,Medium,Develop / merge,"Tests, Demo video, Installer, Landing page, CI/CD","<img src=""assets/readme-banner.png"" alt=""taste skill — anti-slop agent skills for premium frontends"" width=""100%"" />"
agents,/Users/steven/.agent-skills/agents,"Markdown, Python","AI Agent, API, CLI, Creative Tool, Dataset, SEO Tool","AI Tool, Automation, Business Tool, Creative Tool, Dataset, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, CLI, Consulting, Creator Subscription, Dataset License, Developer License, Enterprise, License, Prompt Pack, SaaS",50.9,47.6,50.0,30.0,31.0,16.3,139.0,8140.0,True,Medium,Develop / merge,"Tests, Demo video, Installer, Landing page, CI/CD",agents — ~/.agent-skills/agents/
imagegen,/Users/steven/.agent-skills/skills/.system/imagegen,"Markdown, Python","AI Agent, API, Claude Skill, Creative Tool, Media Tool, SEO Tool, Template","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Course, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",50.3,33.3,78.0,25.0,8.3,19.6,167.0,8347.0,True,High,Develop / merge,"README, Tests, Demo video, Installer, Landing page, CI/CD","description: ""generate or edit raster images when the task benefits from ai-created bitmap visuals such as photos, illustrations, textures, sprites, mockups, or transparent-background cutouts. use when codex should create a brand-new image, transform an existing image, or derive "
devtu-fix-tool,/Users/steven/.agent-skills/skills/devtu-fix-tool,Markdown,"API, Claude Skill, Creative Tool, Dataset, SEO Tool","Business Tool, Creative Tool, Dataset, Media Tool, SEO Tool","API, Consulting, Creator Subscription, Dataset License, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",50.0,33.3,100.0,0.0,0.0,21.7,189.0,9446.0,True,High,Develop / merge,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","description: fix failing tooluniverse tools by diagnosing test failures, identifying root causes, implementing fixes, and validating solutions. use when tooluniverse tools fail tests, return errors, have schema validation issues, or when asked to debug or fix tools in the tooluni"
tests,/Users/steven/.agent-skills/skills/creative/comfyui/tests,"Markdown, Python","AI Agent, API, Creative Tool, SEO Tool","AI Tool, Automation, Business Tool, Creative Tool, Developer Tool, Media Tool, SEO Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS",49.4,71.4,50.0,0.0,4.8,14.1,139.0,10125.0,True,Medium,Develop / merge,"License, Screenshots, Demo video, Installer, Landing page, CI/CD",comfyui skill tests
ascii-video,/Users/steven/.agent-skills/skills/creative/ascii-video,Markdown,"AI Agent, API, Claude Skill, Creative Tool, Media Tool","AI Tool, Automation, Creative Tool, Developer Tool, Media Tool","API, Agent Pack, Consulting, Creator Subscription, Enterprise, License, Prompt Pack, SaaS, Skill Pack, Template",48.3,42.9,78.0,0.0,9.5,19.8,167.0,9309.0,True,High,Develop / merge,"License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD","renders any content as colored ascii character video. audio, video, images, text, or pure math in, mp4/gif/png sequence out. full rgb color per character cell, 1080p 24fps default. no gpu."
automation-recommender,/Users/steven/.agent-skills/skills/automation-recommender,Markdown,"AI Agent, API, Claude Skill, MCP Server, SEO Tool, SaaS Candidate, Template","AI Tool, Automation, Business Tool, Developer Tool, SEO Tool","API, Agent Pack, Consulting, Course, Enterprise, Hosted MCP, License, MCP, SaaS, Skill Pack, Template",47.5,33.3,90.0,0.0,0.0,21.7,179.0,8946.0,True,High,Develop / merge,"README, License, Tests, Screenshots, Demo video, Installer, Landing page, CI/CD",automation-recommender
