filename,file_size,file_size_bytes,creation_date,original_path,full_path,file_extension,category,primary_type,mime_type,encoding,intelligent_category,confidence_score,description,key_concepts,content_hash,lines_of_code,complexity_score,predicted_business_value,integration_potential,integration_targets,estimated_effort,maturity_level,roi_potential,agent_affinity,skill_affinity,command_related,dependencies,dependents,agent_tier,last_modified,modification_count,moved_from,status,last_scan_date,documentation_score,test_coverage,code_standards,security_score,accessibility_score,related_files,tags,ownership,last_reviewed,review_status
docs-06-21-12:37.csv,58.73 KB,60141,07-13-26,/Users/steven/.agent-skills/skills,/Users/steven/.agent-skills/skills/docs-06-21-12:37.csv,.csv,csv,csv,text/csv,utf-8,skill,0.95,Skill module: docs-06-21-12:37.csv,"Filename,File,Size,Creation,Date",8b839a15c58a0612,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,06-21-26 12:37,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
enriched-skills.csv,535.09 KB,547936,08-08-26,/Users/steven/.agent-skills/skills,/Users/steven/.agent-skills/skills/enriched-skills.csv,.csv,csv,csv,text/csv,utf-8,skill,0.95,Skill module: enriched-skills.csv,"Users,Skill,Filename,File,agent",e1149fc712d973fa,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,08-08-26 03:39,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
README.md,4.53 KB,4637,08-06-26,/Users/steven/.agent-skills/skills,/Users/steven/.agent-skills/skills/README.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: README.md,"Skills,Documented,August,Each,agent",172c6c395fc7d250,108,0.0,0.55,False,,low,production,0.49,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,08-06-26 17:37,0,,stable,08-08-26,0.85,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
VERSIONING_NOTES.md,240.00 B,240,07-13-26,/Users/steven/.agent-skills/skills,/Users/steven/.agent-skills/skills/VERSIONING_NOTES.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: VERSIONING_NOTES.md,"Skill,Versioning,Notes,For,Active",07e71f59ad9dddc3,8,0.0,0.46,False,,low,production,0.41,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
checkpoint.skill,2.92 KB,2985,07-13-26,/Users/steven/.agent-skills/skills,/Users/steven/.agent-skills/skills/checkpoint.skill,.skill,other,other,application/octet-stream,utf-8,skill,0.95,Skill module: checkpoint.skill,"Xn,Fr,Tfu,Ir,Cf",df30e659408203f6,0,0.0,0.68,True,,low,production,0.61,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
docs.txt,28.00 B,28,07-13-26,/Users/steven/.agent-skills/skills,/Users/steven/.agent-skills/skills/docs.txt,.txt,text,text,text/plain,utf-8,skill,0.95,Skill module: docs.txt,"Users,agent,skill",7bb089118e530e3e,1,0.0,0.45,False,,low,production,0.41,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,06-21-26 12:37,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.0,,production,studio-coach,,pending
DESCRIPTION.md,137.00 B,137,07-13-26,/Users/steven/.agent-skills/skills/apple,/Users/steven/.agent-skills/skills/apple/DESCRIPTION.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: DESCRIPTION.md,"Apple,Mac,Finder,skill",c9537e578d689502,2,0.0,0.45,False,,low,production,0.41,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
SKILL.md,315.00 B,315,07-13-26,/Users/steven/.agent-skills/skills/apple,/Users/steven/.agent-skills/skills/apple/SKILL.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: SKILL.md,"Use,Apple,Reminders,FindMy,Notes",a1dd64d99c2adbd9,13,0.0,0.46,False,,low,production,0.42,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-13-26 06:03,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
SKILL.md,2.47 KB,2530,07-13-26,/Users/steven/.agent-skills/skills/apple/apple-reminders,/Users/steven/.agent-skills/skills/apple/apple-reminders/SKILL.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: SKILL.md,"Apple,Reminders,Hermes,Agent,agent",7ed9206a4df2739d,98,0.0,0.54,False,,low,production,0.49,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance",,,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
SKILL.md,7.14 KB,7307,07-13-26,/Users/steven/.agent-skills/skills/apple/macos-computer-use,/Users/steven/.agent-skills/skills/apple/macos-computer-use/SKILL.md,.md,markdown,markdown,text/markdown,utf-8,skill,0.95,Skill module: SKILL.md,"Drive,Space,Works,Load,Computer",6515944a397390a2,201,0.0,0.63,True,,medium,production,0.57,"studio-coach,skill-writer,test-writer-fixer","brainstorming,writing-plans,agent-creation-guidance","activate-agents,list-skills",,,Tier-0-Canonical,07-12-26 11:41,0,,stable,08-08-26,0.5,0.0,unknown,0.85,0.85,,production,studio-coach,,pending
